AssetType,Year,Growth
Dubai Crude ,2007,11.30%
Dubai Crude ,2008,37.20%
Dubai Crude ,2009,-34.10%
Dubai Crude ,2010,26.40%
Dubai Crude ,2011,35.80%
Dubai Crude ,2012,2.70%
Dubai Crude ,2013,-3.20%
Dubai Crude ,2014,-8.30%
Dubai Crude ,2015,-47.00%
Dubai Crude ,2016,-19.50%
Brent Crude ,1980,0.00%
Brent Crude ,1981,-3.20%
Brent Crude ,1982,-8.90%
Brent Crude ,1983,-10.90%
Brent Crude ,1984,-3.50%
Brent Crude ,1985,-3.90%
Brent Crude ,1986,-47.70%
Brent Crude ,1987,27.70%
Brent Crude ,1988,-18.80%
Brent Crude ,1989,21.90%
Brent Crude ,1990,29.90%
Brent Crude ,1991,-15.70%
Brent Crude ,1992,-2.80%
Brent Crude ,1993,-12.40%
Brent Crude ,1994,-6.90%
Brent Crude ,1995,7.80%
Brent Crude ,1996,19.90%
Brent Crude ,1997,-6.50%
Brent Crude ,1998,-33.50%
Brent Crude ,1999,39.20%
Brent Crude ,2000,59.90%
Brent Crude ,2001,-13.80%
Brent Crude ,2002,2.40%
Brent Crude ,2003,15.40%
Brent Crude ,2004,32.70%
Brent Crude ,2005,42.10%
Brent Crude ,2006,20.10%
Brent Crude ,2007,11.20%
Brent Crude ,2008,34.30%
Brent Crude ,2009,-36.70%
Brent Crude ,2010,28.70%
Brent Crude ,2011,39.30%
Brent Crude ,2012,0.90%
Brent Crude ,2013,-2.80%
Brent Crude ,2014,-9.10%
Brent Crude ,2015,-47.00%
Brent Crude ,2016,-15.90%
"Coal, Australia",1980,0.00%
"Coal, Australia",1981,18.40%
"Coal, Australia",1982,7.80%
"Coal, Australia",1983,-30.30%
"Coal, Australia",1984,-18.90%
"Coal, Australia",1985,9.00%
"Coal, Australia",1986,-7.80%
"Coal, Australia",1987,-11.60%
"Coal, Australia",1988,26.80%
"Coal, Australia",1989,9.00%
"Coal, Australia",1990,4.40%
"Coal, Australia",1991,0.00%
"Coal, Australia",1992,-2.80%
"Coal, Australia",1993,-18.70%
"Coal, Australia",1994,3.10%
"Coal, Australia",1995,21.90%
"Coal, Australia",1996,-3.30%
"Coal, Australia",1997,-7.80%
"Coal, Australia",1998,-16.70%
"Coal, Australia",1999,-11.40%
"Coal, Australia",2000,1.40%
"Coal, Australia",2001,23.10%
"Coal, Australia",2002,-16.30%
"Coal, Australia",2003,3.30%
"Coal, Australia",2004,102.90%
"Coal, Australia",2005,-10.10%
"Coal, Australia",2006,3.10%
"Coal, Australia",2007,33.90%
"Coal, Australia",2008,93.40%
"Coal, Australia",2009,-43.50%
"Coal, Australia",2010,37.80%
"Coal, Australia",2011,22.70%
"Coal, Australia",2012,-20.70%
"Coal, Australia",2013,-12.20%
"Coal, Australia",2014,-17.10%
"Coal, Australia",2015,-18.00%
"Coal, Australia",2016,14.50%
Swine ,1980,0.00%
Swine ,1981,19.70%
Swine ,1982,46.70%
Swine ,1983,-19.20%
Swine ,1984,-2.70%
Swine ,1985,-0.60%
Swine ,1986,9.90%
Swine ,1987,-4.20%
Swine ,1988,-34.50%
Swine ,1989,-17.60%
Swine ,1990,57.30%
Swine ,1991,-11.50%
Swine ,1992,-36.50%
Swine ,1993,14.20%
Swine ,1994,-12.60%
Swine ,1995,11.30%
Swine ,1996,47.30%
Swine ,1997,-21.20%
Swine ,1998,-37.40%
Swine ,1999,-2.70%
Swine ,2000,33.50%
Swine ,2001,3.60%
Swine ,2002,-23.10%
Swine ,2003,13.00%
Swine ,2004,33.00%
Swine ,2005,-4.70%
Swine ,2006,-5.60%
Swine ,2007,-0.30%
Swine ,2008,1.50%
Swine ,2009,-13.70%
Swine ,2010,33.50%
Swine ,2011,19.60%
Swine ,2012,-7.00%
Swine ,2013,4.50%
Swine ,2014,18.80%
Swine ,2015,-33.90%
Swine ,2016,-8.10%
Cotton ,1980,0.00%
Cotton ,1981,-10.40%
Cotton ,1982,-13.60%
Cotton ,1983,16.00%
Cotton ,1984,-3.80%
Cotton ,1985,-26.00%
Cotton ,1986,-20.00%
Cotton ,1987,56.00%
Cotton ,1988,-15.00%
Cotton ,1989,19.60%
Cotton ,1990,8.70%
Cotton ,1991,-6.80%
Cotton ,1992,-24.70%
Cotton ,1993,0.10%
Cotton ,1994,37.40%
Cotton ,1995,23.30%
Cotton ,1996,-18.10%
Cotton ,1997,-1.60%
Cotton ,1998,-17.30%
Cotton ,1999,-18.90%
Cotton ,2000,11.10%
Cotton ,2001,-18.70%
Cotton ,2002,-3.60%
Cotton ,2003,37.10%
Cotton ,2004,-2.30%
Cotton ,2005,-11.00%
Cotton ,2006,5.20%
Cotton ,2007,9.00%
Cotton ,2008,12.80%
Cotton ,2009,-12.10%
Cotton ,2010,65.00%
Cotton ,2011,49.30%
Cotton ,2012,-42.30%
Cotton ,2013,1.30%
Cotton ,2014,-8.10%
Cotton ,2015,-15.30%
Cotton ,2016,5.40%
Rubber ,1980,0.00%
Rubber ,1981,-21.20%
Rubber ,1982,-23.60%
Rubber ,1983,24.10%
Rubber ,1984,-10.00%
Rubber ,1985,-20.80%
Rubber ,1986,6.30%
Rubber ,1987,22.10%
Rubber ,1988,20.30%
Rubber ,1989,-18.20%
Rubber ,1990,-10.80%
Rubber ,1991,-4.50%
Rubber ,1992,4.30%
Rubber ,1993,-3.50%
Rubber ,1994,35.40%
Rubber ,1995,40.40%
Rubber ,1996,-11.30%
Rubber ,1997,-27.40%
Rubber ,1998,-29.10%
Rubber ,1999,-11.90%
Rubber ,2000,5.10%
Rubber ,2001,-13.90%
Rubber ,2002,33.00%
Rubber ,2003,41.60%
Rubber ,2004,20.50%
Rubber ,2005,15.10%
Rubber ,2006,40.30%
Rubber ,2007,8.70%
Rubber ,2008,14.10%
Rubber ,2009,-26.50%
Rubber ,2010,90.10%
Rubber ,2011,31.90%
Rubber ,2012,-29.90%
Rubber ,2013,-17.30%
Rubber ,2014,-30.00%
Rubber ,2015,-20.30%
Rubber ,2016,5.30%
Hides ,1980,0.00%
Hides ,1981,-9.10%
Hides ,1982,-7.60%
Hides ,1983,17.00%
Hides ,1984,30.40%
Hides ,1985,-13.10%
Hides ,1986,25.00%
Hides ,1987,24.80%
Hides ,1988,9.80%
Hides ,1989,2.70%
Hides ,1990,2.50%
Hides ,1991,-13.90%
Hides ,1992,-4.50%
Hides ,1993,5.50%
Hides ,1994,8.50%
